Zipcode	County	Organizing Zone
92092	SAN DIEGO	San Diego
92093	SAN DIEGO	San Diego
92101	SAN DIEGO	San Diego
92102	SAN DIEGO	San Diego
92103	SAN DIEGO	San Diego
92104	SAN DIEGO	San Diego
92105	SAN DIEGO	San Diego
92106	SAN DIEGO	San Diego
92107	SAN DIEGO	San Diego
92108	SAN DIEGO	San Diego
92109	SAN DIEGO	San Diego
92110	SAN DIEGO	San Diego
92111	SAN DIEGO	San Diego
92112	SAN DIEGO	San Diego
92113	SAN DIEGO	San Diego
92114	SAN DIEGO	San Diego
92115	SAN DIEGO	San Diego
92116	SAN DIEGO	San Diego
92117	SAN DIEGO	San Diego
92118	SAN DIEGO	San Diego
92119	SAN DIEGO	San Diego
92120	SAN DIEGO	San Diego
92121	SAN DIEGO	San Diego
92122	SAN DIEGO	San Diego
92123	SAN DIEGO	San Diego
92124	SAN DIEGO	San Diego
92126	SAN DIEGO	San Diego
92127	SAN DIEGO	San Diego
92128	SAN DIEGO	San Diego
92129	SAN DIEGO	San Diego
92130	SAN DIEGO	San Diego
92131	SAN DIEGO	San Diego
92132	SAN DIEGO	San Diego
92134	SAN DIEGO	San Diego
92135	SAN DIEGO	San Diego
92136	SAN DIEGO	San Diego
92137	SAN DIEGO	San Diego
92138	SAN DIEGO	San Diego
92139	SAN DIEGO	San Diego
92140	SAN DIEGO	San Diego
92142	SAN DIEGO	San Diego
92143	SAN DIEGO	San Diego
92145	SAN DIEGO	San Diego
92147	SAN DIEGO	San Diego
92149	SAN DIEGO	San Diego
92150	SAN DIEGO	San Diego
92152	SAN DIEGO	San Diego
92153	SAN DIEGO	San Diego
92154	SAN DIEGO	San Diego
92155	SAN DIEGO	San Diego
92158	SAN DIEGO	San Diego
92159	SAN DIEGO	San Diego
92160	SAN DIEGO	San Diego
92161	SAN DIEGO	San Diego
92163	SAN DIEGO	San Diego
92165	SAN DIEGO	San Diego
92166	SAN DIEGO	San Diego
92167	SAN DIEGO	San Diego
92168	SAN DIEGO	San Diego
92169	SAN DIEGO	San Diego
92170	SAN DIEGO	San Diego
92171	SAN DIEGO	San Diego
92172	SAN DIEGO	San Diego
92173	SAN DIEGO	San Diego
92174	SAN DIEGO	San Diego
92175	SAN DIEGO	San Diego
92176	SAN DIEGO	San Diego
92177	SAN DIEGO	San Diego
92178	SAN DIEGO	San Diego
92179	SAN DIEGO	San Diego
92182	SAN DIEGO	San Diego
92186	SAN DIEGO	San Diego
92187	SAN DIEGO	San Diego
92191	SAN DIEGO	San Diego
92192	SAN DIEGO	San Diego
92193	SAN DIEGO	San Diego
92195	SAN DIEGO	San Diego
92196	SAN DIEGO	San Diego
92197	SAN DIEGO	San Diego
92198	SAN DIEGO	San Diego
92199	SAN DIEGO	San Diego
97003	WASHINGTON	Portland
97005	WASHINGTON	Portland
97006	WASHINGTON	Portland
97007	WASHINGTON	Portland
97008	WASHINGTON	Portland
97035	CLACKAMAS	Portland
97056	COLUMBIA	Portland
97062	WASHINGTON	Portland
97064	COLUMBIA	Portland
97070	CLACKAMAS	Portland
97075	WASHINGTON	Portland
97076	WASHINGTON	Portland
97077	WASHINGTON	Portland
97078	WASHINGTON	Portland
97079	WASHINGTON	Portland
97106	WASHINGTON	Portland
97109	WASHINGTON	Portland
97113	WASHINGTON	Portland
97116	WASHINGTON	Portland
97117	WASHINGTON	Portland
97119	WASHINGTON	Portland
97123	WASHINGTON	Portland
97124	WASHINGTON	Portland
97125	WASHINGTON	Portland
97129	WASHINGTON	Portland
97132	YAMHILL	Portland
97133	WASHINGTON	Portland
97140	WASHINGTON	Portland
97144	WASHINGTON	Portland
97210	MULTNOMAH	Portland
97219	MULTNOMAH	Portland
97221	MULTNOMAH	Portland
97223	WASHINGTON	Portland
97224	WASHINGTON	Portland
97225	WASHINGTON	Portland
97229	WASHINGTON	Portland
97231	MULTNOMAH	Portland
97281	WASHINGTON	Portland
97291	WASHINGTON	Portland
97298	WASHINGTON	Portland
97002	MARION	Portland
97004	CLACKAMAS	Portland
97009	CLACKAMAS	Portland
97011	CLACKAMAS	Portland
97013	CLACKAMAS	Portland
97015	CLACKAMAS	Portland
97017	CLACKAMAS	Portland
97019	MULTNOMAH	Portland
97022	CLACKAMAS	Portland
97023	CLACKAMAS	Portland
97027	CLACKAMAS	Portland
97028	CLACKAMAS	Portland
97032	MARION	Portland
97034	CLACKAMAS	Portland
97035	CLACKAMAS	Portland
97036	CLACKAMAS	Portland
97038	CLACKAMAS	Portland
97042	CLACKAMAS	Portland
97045	CLACKAMAS	Portland
97049	CLACKAMAS	Portland
97055	CLACKAMAS	Portland
97062	WASHINGTON	Portland
97067	CLACKAMAS	Portland
97068	CLACKAMAS	Portland
97070	CLACKAMAS	Portland
97071	MARION	Portland
97080	MULTNOMAH	Portland
97086	CLACKAMAS	Portland
97089	CLACKAMAS	Portland
97132	YAMHILL	Portland
97140	WASHINGTON	Portland
97202	MULTNOMAH	Portland
97206	MULTNOMAH	Portland
97219	MULTNOMAH	Portland
97222	CLACKAMAS	Portland
97267	CLACKAMAS	Portland
97268	CLACKAMAS	Portland
97269	CLACKAMAS	Portland
97362	MARION	Portland
97375	MARION	Portland
97009	CLACKAMAS	Portland
97010	MULTNOMAH	Portland
97014	HOOD RIVER	Portland
97019	MULTNOMAH	Portland
97024	MULTNOMAH	Portland
97030	MULTNOMAH	Portland
97034	CLACKAMAS	Portland
97035	CLACKAMAS	Portland
97056	COLUMBIA	Portland
97060	MULTNOMAH	Portland
97080	MULTNOMAH	Portland
97089	CLACKAMAS	Portland
97124	WASHINGTON	Portland
97133	WASHINGTON	Portland
97201	MULTNOMAH	Portland
97202	MULTNOMAH	Portland
97203	MULTNOMAH	Portland
97204	MULTNOMAH	Portland
97205	MULTNOMAH	Portland
97206	MULTNOMAH	Portland
97207	MULTNOMAH	Portland
97208	MULTNOMAH	Portland
97209	MULTNOMAH	Portland
97210	MULTNOMAH	Portland
97211	MULTNOMAH	Portland
97212	MULTNOMAH	Portland
97213	MULTNOMAH	Portland
97214	MULTNOMAH	Portland
97215	MULTNOMAH	Portland
97216	MULTNOMAH	Portland
97217	MULTNOMAH	Portland
97218	MULTNOMAH	Portland
97219	MULTNOMAH	Portland
97220	MULTNOMAH	Portland
97221	MULTNOMAH	Portland
97222	CLACKAMAS	Portland
97225	WASHINGTON	Portland
97227	MULTNOMAH	Portland
97228	MULTNOMAH	Portland
97229	WASHINGTON	Portland
97230	MULTNOMAH	Portland
97231	MULTNOMAH	Portland
97232	MULTNOMAH	Portland
97233	MULTNOMAH	Portland
97236	MULTNOMAH	Portland
97238	MULTNOMAH	Portland
97239	MULTNOMAH	Portland
97240	MULTNOMAH	Portland
97242	MULTNOMAH	Portland
97250	MULTNOMAH	Portland
97251	MULTNOMAH	Portland
97252	MULTNOMAH	Portland
97253	MULTNOMAH	Portland
97254	MULTNOMAH	Portland
97256	MULTNOMAH	Portland
97266	MULTNOMAH	Portland
97280	MULTNOMAH	Portland
97282	MULTNOMAH	Portland
97283	MULTNOMAH	Portland
97286	MULTNOMAH	Portland
97290	MULTNOMAH	Portland
97292	MULTNOMAH	Portland
97293	MULTNOMAH	Portland
97294	MULTNOMAH	Portland
97296	MULTNOMAH	Portland
98601	CLARK	Portland
98604	CLARK	Portland
98606	CLARK	Portland
98607	CLARK	Portland
98622	CLARK	Portland
98629	CLARK	Portland
98642	CLARK	Portland
98660	CLARK	Portland
98661	CLARK	Portland
98662	CLARK	Portland
98663	CLARK	Portland
98664	CLARK	Portland
98665	CLARK	Portland
98666	CLARK	Portland
98668	CLARK	Portland
98671	CLARK	Portland
98674	COWLITZ	Portland
98675	CLARK	Portland
98682	CLARK	Portland
98683	CLARK	Portland
98684	CLARK	Portland
98685	CLARK	Portland
98686	CLARK	Portland
98687	CLARK	Portland
90001	LOS ANGELES	Los Angeles
90002	LOS ANGELES	Los Angeles
90003	LOS ANGELES	Los Angeles
90004	LOS ANGELES	Los Angeles
90005	LOS ANGELES	Los Angeles
90006	LOS ANGELES	Los Angeles
90007	LOS ANGELES	Los Angeles
90008	LOS ANGELES	Los Angeles
90009	LOS ANGELES	Los Angeles
90010	LOS ANGELES	Los Angeles
90011	LOS ANGELES	Los Angeles
90012	LOS ANGELES	Los Angeles
90013	LOS ANGELES	Los Angeles
90014	LOS ANGELES	Los Angeles
90015	LOS ANGELES	Los Angeles
90016	LOS ANGELES	Los Angeles
90017	LOS ANGELES	Los Angeles
90018	LOS ANGELES	Los Angeles
90019	LOS ANGELES	Los Angeles
90020	LOS ANGELES	Los Angeles
90021	LOS ANGELES	Los Angeles
90022	LOS ANGELES	Los Angeles
90023	LOS ANGELES	Los Angeles
90024	LOS ANGELES	Los Angeles
90025	LOS ANGELES	Los Angeles
90026	LOS ANGELES	Los Angeles
90027	LOS ANGELES	Los Angeles
90028	LOS ANGELES	Los Angeles
90029	LOS ANGELES	Los Angeles
90030	LOS ANGELES	Los Angeles
90031	LOS ANGELES	Los Angeles
90032	LOS ANGELES	Los Angeles
90033	LOS ANGELES	Los Angeles
90034	LOS ANGELES	Los Angeles
90035	LOS ANGELES	Los Angeles
90036	LOS ANGELES	Los Angeles
90037	LOS ANGELES	Los Angeles
90038	LOS ANGELES	Los Angeles
90039	LOS ANGELES	Los Angeles
90040	LOS ANGELES	Los Angeles
90041	LOS ANGELES	Los Angeles
90042	LOS ANGELES	Los Angeles
90043	LOS ANGELES	Los Angeles
90044	LOS ANGELES	Los Angeles
90045	LOS ANGELES	Los Angeles
90046	LOS ANGELES	Los Angeles
90047	LOS ANGELES	Los Angeles
90048	LOS ANGELES	Los Angeles
90049	LOS ANGELES	Los Angeles
90050	LOS ANGELES	Los Angeles
90051	LOS ANGELES	Los Angeles
90052	LOS ANGELES	Los Angeles
90053	LOS ANGELES	Los Angeles
90054	LOS ANGELES	Los Angeles
90055	LOS ANGELES	Los Angeles
90056	LOS ANGELES	Los Angeles
90057	LOS ANGELES	Los Angeles
90058	LOS ANGELES	Los Angeles
90059	LOS ANGELES	Los Angeles
90060	LOS ANGELES	Los Angeles
90061	LOS ANGELES	Los Angeles
90062	LOS ANGELES	Los Angeles
90063	LOS ANGELES	Los Angeles
90064	LOS ANGELES	Los Angeles
90065	LOS ANGELES	Los Angeles
90066	LOS ANGELES	Los Angeles
90067	LOS ANGELES	Los Angeles
90068	LOS ANGELES	Los Angeles
90069	LOS ANGELES	Los Angeles
90070	LOS ANGELES	Los Angeles
90071	LOS ANGELES	Los Angeles
90072	LOS ANGELES	Los Angeles
90073	LOS ANGELES	Los Angeles
90074	LOS ANGELES	Los Angeles
90075	LOS ANGELES	Los Angeles
90076	LOS ANGELES	Los Angeles
90077	LOS ANGELES	Los Angeles
90078	LOS ANGELES	Los Angeles
90079	LOS ANGELES	Los Angeles
90080	LOS ANGELES	Los Angeles
90081	LOS ANGELES	Los Angeles
90082	LOS ANGELES	Los Angeles
90083	LOS ANGELES	Los Angeles
90084	LOS ANGELES	Los Angeles
90086	LOS ANGELES	Los Angeles
90087	LOS ANGELES	Los Angeles
90088	LOS ANGELES	Los Angeles
90089	LOS ANGELES	Los Angeles
90090	LOS ANGELES	Los Angeles
90091	LOS ANGELES	Los Angeles
90093	LOS ANGELES	Los Angeles
90094	LOS ANGELES	Los Angeles
90095	LOS ANGELES	Los Angeles
90096	LOS ANGELES	Los Angeles
90099	LOS ANGELES	Los Angeles
90189	LOS ANGELES	Los Angeles
90201	LOS ANGELES	Los Angeles
90202	LOS ANGELES	Los Angeles
90209	LOS ANGELES	Los Angeles
90210	LOS ANGELES	Los Angeles
90211	LOS ANGELES	Los Angeles
90212	LOS ANGELES	Los Angeles
90213	LOS ANGELES	Los Angeles
90220	LOS ANGELES	Los Angeles
90221	LOS ANGELES	Los Angeles
90222	LOS ANGELES	Los Angeles
90223	LOS ANGELES	Los Angeles
90224	LOS ANGELES	Los Angeles
90230	LOS ANGELES	Los Angeles
90231	LOS ANGELES	Los Angeles
90232	LOS ANGELES	Los Angeles
90233	LOS ANGELES	Los Angeles
90239	LOS ANGELES	Los Angeles
90240	LOS ANGELES	Los Angeles
90241	LOS ANGELES	Los Angeles
90242	LOS ANGELES	Los Angeles
90245	LOS ANGELES	Los Angeles
90247	LOS ANGELES	Los Angeles
90248	LOS ANGELES	Los Angeles
90249	LOS ANGELES	Los Angeles
90250	LOS ANGELES	Los Angeles
90251	LOS ANGELES	Los Angeles
90254	LOS ANGELES	Los Angeles
90255	LOS ANGELES	Los Angeles
90260	LOS ANGELES	Los Angeles
90261	LOS ANGELES	Los Angeles
